target,fold,arm,n_features,R2,RMSE,MAE
math_avg_grade,0,municipal,18,0.12532306521115677,7.249397473385313,5.672338454673072
math_avg_grade,0,full,11,0.4954310316766417,5.506027087084224,4.1765725808750185
math_avg_grade,1,municipal,18,0.09298124089773763,6.610432591333816,5.128907812209376
math_avg_grade,1,full,12,0.4222447201356807,5.275865408303341,4.081342309563182
math_avg_grade,2,municipal,18,0.1274819071419896,6.442698197118597,5.050599335605575
math_avg_grade,2,full,12,0.40883841681949706,5.303147037311971,4.000225184701232
math_avg_grade,3,municipal,18,0.08544491347669148,6.562916668661403,5.165406198306437
math_avg_grade,3,full,12,0.35598799595997366,5.50730255997051,4.2057693587024225
math_avg_grade,4,municipal,18,0.11442746292511063,6.491307418710273,5.080067168289307
math_avg_grade,4,full,11,0.41988980794268915,5.253822003472779,4.077562831000333
english_avg_grade,0,municipal,18,0.18597197635491614,5.131124325372945,3.9256080279146666
english_avg_grade,0,full,15,0.4575632017397374,4.188585948538162,3.276702784159475
english_avg_grade,1,municipal,18,0.19158465933803004,5.639038664235042,4.203746378819561
english_avg_grade,1,full,13,0.39028339508056364,4.897244764320763,3.7010459404119964
english_avg_grade,2,municipal,18,0.24216632835128904,5.222852940230161,4.101260510209778
english_avg_grade,2,full,14,0.5098205424783294,4.200474979729157,3.2277544228323074
english_avg_grade,3,municipal,18,0.16585719031101653,5.699800584629934,4.3241610666821915
english_avg_grade,3,full,14,0.45412578382409374,4.6109004617215925,3.497680975567183
english_avg_grade,4,municipal,18,0.192570113194089,5.745688736054371,4.326238390534034
english_avg_grade,4,full,13,0.44826266067567677,4.749587280054915,3.5221744685271057
math_5unit_participation,0,municipal,18,0.09958899646752395,0.10529866811641761,0.08058347533025963
math_5unit_participation,0,full,11,0.39469738445151226,0.08633537036713274,0.0610545355438305
math_5unit_participation,1,municipal,18,0.04844149265364639,0.10772494160628515,0.08102508269837227
math_5unit_participation,1,full,12,0.40694883337974896,0.08504418066915222,0.05485245686187467
math_5unit_participation,2,municipal,18,0.02470591927619059,0.10958839176277824,0.0867426335715904
math_5unit_participation,2,full,11,0.41491067202071397,0.08488048408271939,0.0607314692875844
math_5unit_participation,3,municipal,18,0.02622111306120456,0.11914412833554738,0.08618391207221543
math_5unit_participation,3,full,12,0.33191581903435907,0.0986865715536733,0.062442909350172285
math_5unit_participation,4,municipal,18,0.07734940921795863,0.08575700614588437,0.07187333680431203
math_5unit_participation,4,full,12,0.42668485531835243,0.06760015411400584,0.051287787131694754
english_5unit_participation,0,municipal,18,0.2524893669783437,0.22540802345095037,0.17128647747476952
english_5unit_participation,0,full,14,0.6255604487941844,0.1595333707692123,0.11901147692768477
english_5unit_participation,1,municipal,18,0.28338877591200295,0.23347208474270886,0.18183393403956452
english_5unit_participation,1,full,14,0.5627387382019264,0.1823743092748046,0.13730701715706936
english_5unit_participation,2,municipal,18,0.22104646693336494,0.24006396346202125,0.18858514011814598
english_5unit_participation,2,full,13,0.5048956382836103,0.1913901454456873,0.1384748844277049
english_5unit_participation,3,municipal,18,0.2381171789821368,0.24685670217370242,0.18742730637058702
english_5unit_participation,3,full,13,0.5885983931897072,0.1813985553501679,0.131025985930234
english_5unit_participation,4,municipal,18,0.14971262997302692,0.23266286117793028,0.17827565504771195
english_5unit_participation,4,full,14,0.5042954985624035,0.1776460812862228,0.12736270033077132
