target,model,RMSE,RMSE_std,MAE,R2,R2_std
math_avg_grade,RandomForest,5.4651824684605135,0.14880821523046905,4.193960599940391,0.39954392427832514,0.04911517745486138
math_avg_grade,Ridge,5.491166146231434,0.12686031409898596,4.2259502660742605,0.39252800147179867,0.06109641083105858
math_avg_grade,SGD (linear SVM),5.498320859733356,0.12775913070206163,4.227891864451361,0.39133815748447975,0.05765805042876427
math_avg_grade,HistGradientBoosting,5.567791341739232,0.07809861074652209,4.251396066990867,0.3765975417552526,0.04799348836572148
english_avg_grade,HistGradientBoosting,4.670240936368635,0.2606657646982024,3.570762915868521,0.41756783350605947,0.028245528643378547
english_avg_grade,RandomForest,4.674979405102306,0.2447324412937092,3.5560581761905645,0.41585018407259583,0.033573388138884594
english_avg_grade,Ridge,4.682363148435104,0.2580279693339207,3.5938840753355565,0.4141864072836645,0.03435488481700284
english_avg_grade,SGD (linear SVM),4.686926256908402,0.2612871136111868,3.6014062039611803,0.4130877691246592,0.03435068499419955
math_5unit_participation,RandomForest,0.08419598624946618,0.008426094290934398,0.05740324095533718,0.3971089655721015,0.03129480084775067
math_5unit_participation,HistGradientBoosting,0.08477813973535582,0.009027326762989242,0.05731628776568591,0.38690977786646474,0.06111058770187764
math_5unit_participation,Ridge,0.08914307510312566,0.009830682557380887,0.06376621520885388,0.3256068088894555,0.03614793255013532
math_5unit_participation,SGD (linear SVM),0.08915333423952207,0.009579148389476053,0.06408551455514634,0.32517240244308276,0.03321262764843525
english_5unit_participation,HistGradientBoosting,0.18143962809652464,0.01022632232416484,0.13124451818708088,0.5425184878549834,0.04547918166224451
english_5unit_participation,RandomForest,0.18412524880468611,0.009585387389449883,0.1335291588470274,0.528838569208055,0.04569173269671069
english_5unit_participation,Ridge,0.1879631951968635,0.007415629643273669,0.13973087064100242,0.5089796521471992,0.04236157137423923
english_5unit_participation,SGD (linear SVM),0.18802604987330923,0.007457069239069952,0.13985587424380258,0.5085579967377123,0.043568362970053294
