target,fold,model,n_features,n_train,n_test,R2,RMSE,MAE,best_params
math_avg_grade,0,Ridge,11,2396,599,0.4939074907558848,5.5143335181964055,4.266546281920637,{'ridge__alpha': 100.0}
math_avg_grade,0,SGD (linear SVM),11,2396,599,0.4826925839073193,5.57509698956551,4.300197501544822,"{'sgdregressor__penalty': 'l1', 'sgdregressor__learning_rate': 'invscaling', 'sgdregressor__alpha': 0.1}"
math_avg_grade,0,RandomForest,11,2396,599,0.4954310316766416,5.506027087084225,4.1765725808750185,"{'n_estimators': 500, 'min_samples_leaf': 5, 'max_features': 0.3, 'max_depth': 8}"
math_avg_grade,0,HistGradientBoosting,11,2396,599,0.49408871811749167,5.513346112162159,4.203171311192474,"{'min_samples_leaf': 60, 'max_leaf_nodes': 15, 'max_iter': 250, 'max_depth': 5, 'learning_rate': 0.02, 'l2_regularization': 1.0}"
math_avg_grade,1,Ridge,12,2396,599,0.4489383980001067,5.152545333509846,3.9822383355802318,{'ridge__alpha': 100.0}
math_avg_grade,1,SGD (linear SVM),12,2396,599,0.43920118830592725,5.197868505926776,4.028454832621695,"{'sgdregressor__penalty': 'l1', 'sgdregressor__learning_rate': 'adaptive', 'sgdregressor__alpha': 0.1}"
math_avg_grade,1,RandomForest,12,2396,599,0.4222447201356806,5.275865408303341,4.081342309563182,"{'n_estimators': 200, 'min_samples_leaf': 5, 'max_features': 0.3, 'max_depth': None}"
math_avg_grade,1,HistGradientBoosting,12,2396,599,0.41837181741549667,5.293518890832533,4.129674516963459,"{'min_samples_leaf': 60, 'max_leaf_nodes': 15, 'max_iter': 250, 'max_depth': 5, 'learning_rate': 0.02, 'l2_regularization': 1.0}"
math_avg_grade,2,Ridge,12,2396,599,0.346716527777719,5.574827098015753,4.245281846371748,{'ridge__alpha': 50.0}
math_avg_grade,2,SGD (linear SVM),12,2396,599,0.34847344167150396,5.567325694952008,4.240547252778514,"{'sgdregressor__penalty': 'l2', 'sgdregressor__learning_rate': 'adaptive', 'sgdregressor__alpha': 0.001}"
math_avg_grade,2,RandomForest,12,2396,599,0.40883841681949706,5.303147037311971,4.000225184701232,"{'n_estimators': 300, 'min_samples_leaf': 5, 'max_features': 0.3, 'max_depth': 8}"
math_avg_grade,2,HistGradientBoosting,12,2396,599,0.3970739858209126,5.355654819111363,4.101694441450682,"{'min_samples_leaf': 60, 'max_leaf_nodes': 15, 'max_iter': 250, 'max_depth': 5, 'learning_rate': 0.02, 'l2_regularization': 1.0}"
math_avg_grade,3,Ridge,12,2396,599,0.34280302460569,5.563392915940591,4.3055838658600605,{'ridge__alpha': 100.0}
math_avg_grade,3,SGD (linear SVM),12,2396,599,0.35154648134072464,5.526260852094422,4.262456886087298,"{'sgdregressor__penalty': 'l1', 'sgdregressor__learning_rate': 'invscaling', 'sgdregressor__alpha': 0.1}"
math_avg_grade,3,RandomForest,12,2396,599,0.3559879959599732,5.507302559970512,4.205769358702423,"{'n_estimators': 300, 'min_samples_leaf': 2, 'max_features': 0.3, 'max_depth': 14}"
math_avg_grade,3,HistGradientBoosting,12,2396,599,0.3442132430114926,5.557420724427757,4.2762908899850425,"{'min_samples_leaf': 60, 'max_leaf_nodes': 15, 'max_iter': 250, 'max_depth': 5, 'learning_rate': 0.02, 'l2_regularization': 1.0}"
math_avg_grade,4,Ridge,11,2396,599,0.39263024148552794,5.375844392622557,4.130941024004445,{'ridge__alpha': 100.0}
