feature,VIF
teaching_budget_per_student,76.3364066679171
private_hours_per_student,58.31232854521742
total_budget_per_student,35.43022732477753
tuition_per_student,33.66648655626328
index_value,20.40151564510022
cluster,19.620162167679066
perimeter_per_student,4.837828897987569
log_school_size,2.4115444219237454
avg_class_size,2.351843417002145
special_ed_share,1.9153859526233894
purchases_per_student,1.8936271719520972
nurture_quintile,1.7373340432686128
log_population,1.234016451991112
projects_per_student,1.2133375275554463
transport_per_student,1.1221138708616305
